Section,Question,Answer,Answer (Simple with Example),Code Snippet
Concepts & Definitions,"What is the difference between AI, Machine Learning, Deep Learning, and Data Science?","AI is a broad field that enables machines to mimic human intelligence. ML is a subset of AI focused on learning from data. DL is a subset of ML using neural networks with multiple layers. Data Science is a field that uses tools from AI, ML, and stats to extract insights from data.","AI: Any machine mimicking human behavior (e.g., Alexa).
ML: Subset of AI, learns from data (e.g., Netflix recommendations).
DL: Subset of ML using neural networks (e.g., face recognition).
DS: Uses all above to extract insights (e.g., analyzing customer churn).","from sklearn.linear_model import LinearRegression
model = LinearRegression().fit(X, y)"
Concepts & Definitions,Explain Supervised vs Unsupervised vs Reinforcement Learning.,"Supervised: Uses labeled data. Unsupervised: No labels, finds hidden patterns. Reinforcement: Agent learns by interacting with an environment and receiving rewards.","Supervised: Email spam filter (labeled as spam or not).
Unsupervised: Grouping customers based on shopping habits.
Reinforcement: Game bot learns by playing and receiving points.","# Supervised
from sklearn.tree import DecisionTreeClassifier
model = DecisionTreeClassifier().fit(X_train, y_train)

# Unsupervised
from sklearn.cluster import KMeans
kmeans = KMeans(n_clusters=3).fit(X)

# Reinforcement (pseudo-code)
# agent.learn(reward, state)"
Concepts & Definitions,What are the types of regression techniques used in ML?,"Linear, Logistic, Ridge, Lasso, Polynomial, and ElasticNet regression.","Linear: Predict house price.
Logistic: Predict if a person has diabetes (yes/no).
Ridge/Lasso: Linear with penalty to avoid overfitting.
ElasticNet: Combo of Ridge & Lasso.","from sklearn.linear_model import LinearRegression, LogisticRegression, Ridge, Lasso
LinearRegression().fit(X, y)
LogisticRegression().fit(X, y)
Ridge().fit(X, y)
Lasso().fit(X, y)"
Concepts & Definitions,What’s the difference between classification and regression?,"Classification predicts discrete labels (e.g., spam/not spam). Regression predicts continuous values (e.g., house price).","Classification: Predict if email is spam or not.
Regression: Predict how many hours a student will study.","# Classification
from sklearn.ensemble import RandomForestClassifier
RandomForestClassifier().fit(X, y)

# Regression
from sklearn.linear_model import LinearRegression
LinearRegression().fit(X, y)"
Concepts & Definitions,Define overfitting and underfitting. How can you prevent them?,"Overfitting = model too complex, high train accuracy but poor generalization. Underfitting = too simple, poor performance. Prevent using regularization, more data, simpler model, or cross-validation.","Overfitting: Memorizes training data, fails on new.
Underfitting: Can't even learn training data well.
Fix: Use cross-validation, regularization, or simpler model.","# Preventing Overfitting using cross-validation
from sklearn.model_selection import cross_val_score
scores = cross_val_score(model, X, y, cv=5)"
Concepts & Definitions,Explain the bias-variance tradeoff.,Bias: Error from wrong assumptions. Variance: Error from too much complexity. Need to balance both to avoid under/overfitting.,"Bias: Too simple (e.g., straight line for a curve).
Variance: Too complex (e.g., too many wiggles).
Goal: Balance both with proper model choice.","# Bias-variance tradeoff visualized (conceptual)
# Not actual code, but you'd plot train/test error vs model complexity"
Concepts & Definitions,"What are precision, recall, F1 score, and accuracy? When would you use each?","Precision = TP / (TP + FP), Recall = TP / (TP + FN), F1 = harmonic mean. Use precision when false positives are bad, recall when false negatives are worse.","Accuracy: All correct predictions.
Precision: Out of predicted positives, how many correct (important for spam).
Recall: Out of actual positives, how many found (important for cancer).
F1: Balance of both.","from sklearn.metrics import precision_score, recall_score, f1_score, accuracy_score
precision_score(y_true, y_pred)
recall_score(y_true, y_pred)
f1_score(y_true, y_pred)
accuracy_score(y_true, y_pred)"
Algorithms,How does a decision tree work?,It splits data based on the most informative feature using metrics like Gini or entropy until leaves represent decisions.,"Like playing 20 questions: Is income > 50K? Yes → Next Q.
Splits data into decision paths based on best criteria.","from sklearn.tree import DecisionTreeClassifier
model = DecisionTreeClassifier().fit(X, y)"
Algorithms,What is bagging and boosting? Compare Random Forest vs Gradient Boosting.,"Bagging = parallel model training (e.g., Random Forest), Boosting = sequential learning (e.g., Gradient Boosting). Random Forest is more robust, Gradient Boosting gives better accuracy but more prone to overfit.","Bagging: Random Forest (many models vote together).
Boosting: Gradient Boosting (models correct each other).
Bagging = stable, Boosting = accurate but riskier.","from sklearn.ensemble import RandomForestClassifier, GradientBoostingClassifier
RandomForestClassifier().fit(X, y)
GradientBoostingClassifier().fit(X, y)"
Algorithms,How does k-means clustering work?,It partitions data into K clusters by minimizing within-cluster distances. It updates centroids iteratively until convergence.,"Start with k groups (e.g., 3 store locations), assign nearest customers, update group centers, repeat until stable.","from sklearn.cluster import KMeans
kmeans = KMeans(n_clusters=3).fit(X)"
